𢔅	U+22505 (U+22505)	f0a29485
𢔆	U+22506 (U+22506)	f0a29486
𢔇	U+22507 (U+22507)	f0a29487
𢔈	U+22508 (U+22508)	f0a29488
𢔉	U+22509 (U+22509)	f0a29489
𢔊	U+2250A (U+2250A)	f0a2948a
𢔋	U+2250B (U+2250B)	f0a2948b
𢔌	U+2250C (U+2250C)	f0a2948c
𢔍	U+2250D (U+2250D)	f0a2948d
𢔎	U+2250E (U+2250E)	f0a2948e
𢔏	U+2250F (U+2250F)	f0a2948f
𢔐	U+22510 (U+22510)	f0a29490
𢔑	U+22511 (U+22511)	f0a29491
𢔒	U+22512 (U+22512)	f0a29492
𢔓	U+22513 (U+22513)	f0a29493
𢔔	U+22514 (U+22514)	f0a29494
𢔕	U+22515 (U+22515)	f0a29495
𢔖	U+22516 (U+22516)	f0a29496
𢔗	U+22517 (U+22517)	f0a29497
𢔘	U+22518 (U+22518)	f0a29498
𢔙	U+22519 (U+22519)	f0a29499
𢔚	U+2251A (U+2251A)	f0a2949a
𢔛	U+2251B (U+2251B)	f0a2949b
𢔜	U+2251C (U+2251C)	f0a2949c
𢔝	U+2251D (U+2251D)	f0a2949d
𢔞	U+2251E (U+2251E)	f0a2949e
𢔟	U+2251F (U+2251F)	f0a2949f
𢔠	U+22520 (U+22520)	f0a294a0
𢔡	U+22521 (U+22521)	f0a294a1
𢔢	U+22522 (U+22522)	f0a294a2
𢔣	U+22523 (U+22523)	f0a294a3
𢔤	U+22524 (U+22524)	f0a294a4
𢔥	U+22525 (U+22525)	f0a294a5
𢔦	U+22526 (U+22526)	f0a294a6
𢔧	U+22527 (U+22527)	f0a294a7
𢔨	U+22528 (U+22528)	f0a294a8
𢔩	U+22529 (U+22529)	f0a294a9
𢔪	U+2252A (U+2252A)	f0a294aa
𢔫	U+2252B (U+2252B)	f0a294ab
𢔬	U+2252C (U+2252C)	f0a294ac
𢔭	U+2252D (U+2252D)	f0a294ad
𢔮	U+2252E (U+2252E)	f0a294ae
𢔯	U+2252F (U+2252F)	f0a294af
𢔰	U+22530 (U+22530)	f0a294b0
𢔱	U+22531 (U+22531)	f0a294b1
𢔲	U+22532 (U+22532)	f0a294b2
𢔳	U+22533 (U+22533)	f0a294b3
𢔴	U+22534 (U+22534)	f0a294b4
𢔵	U+22535 (U+22535)	f0a294b5
𢔶	U+22536 (U+22536)	f0a294b6
𢔷	U+22537 (U+22537)	f0a294b7
𢔸	U+22538 (U+22538)	f0a294b8
𢔹	U+22539 (U+22539)	f0a294b9
𢔺	U+2253A (U+2253A)	f0a294ba
𢔻	U+2253B (U+2253B)	f0a294bb
𢔼	U+2253C (U+2253C)	f0a294bc
𢔽	U+2253D (U+2253D)	f0a294bd
𢔾	U+2253E (U+2253E)	f0a294be
𢔿	U+2253F (U+2253F)	f0a294bf
𢕀	U+22540 (U+22540)	f0a29580
𢕁	U+22541 (U+22541)	f0a29581
𢕂	U+22542 (U+22542)	f0a29582
𢕃	U+22543 (U+22543)	f0a29583
𢕄	U+22544 (U+22544)	f0a29584
𢕅	U+22545 (U+22545)	f0a29585
𢕆	U+22546 (U+22546)	f0a29586
𢕇	U+22547 (U+22547)	f0a29587
𢕈	U+22548 (U+22548)	f0a29588
𢕉	U+22549 (U+22549)	f0a29589
𢕊	U+2254A (U+2254A)	f0a2958a
𢕋	U+2254B (U+2254B)	f0a2958b
𢕌	U+2254C (U+2254C)	f0a2958c
𢕍	U+2254D (U+2254D)	f0a2958d
𢕎	U+2254E (U+2254E)	f0a2958e
𢕏	U+2254F (U+2254F)	f0a2958f
𢕐	U+22550 (U+22550)	f0a29590
𢕑	U+22551 (U+22551)	f0a29591
𢕒	U+22552 (U+22552)	f0a29592
𢕓	U+22553 (U+22553)	f0a29593
𢕔	U+22554 (U+22554)	f0a29594
𢕕	U+22555 (U+22555)	f0a29595
𢕖	U+22556 (U+22556)	f0a29596
𢕗	U+22557 (U+22557)	f0a29597
𢕘	U+22558 (U+22558)	f0a29598
𢕙	U+22559 (U+22559)	f0a29599
𢕚	U+2255A (U+2255A)	f0a2959a
𢕛	U+2255B (U+2255B)	f0a2959b
𢕜	U+2255C (U+2255C)	f0a2959c
𢕝	U+2255D (U+2255D)	f0a2959d
𢕞	U+2255E (U+2255E)	f0a2959e
𢕟	U+2255F (U+2255F)	f0a2959f
𢕠	U+22560 (U+22560)	f0a295a0
𢕡	U+22561 (U+22561)	f0a295a1
𢕢	U+22562 (U+22562)	f0a295a2
𢕣	U+22563 (U+22563)	f0a295a3
𢕤	U+22564 (U+22564)	f0a295a4
𢕥	U+22565 (U+22565)	f0a295a5
𢕦	U+22566 (U+22566)	f0a295a6
𢕧	U+22567 (U+22567)	f0a295a7
𢕨	U+22568 (U+22568)	f0a295a8
𢕩	U+22569 (U+22569)	f0a295a9
𢕪	U+2256A (U+2256A)	f0a295aa
𢕫	U+2256B (U+2256B)	f0a295ab
𢕬	U+2256C (U+2256C)	f0a295ac
𢕭	U+2256D (U+2256D)	f0a295ad
𢕮	U+2256E (U+2256E)	f0a295ae
𢕯	U+2256F (U+2256F)	f0a295af
𢕰	U+22570 (U+22570)	f0a295b0
𢕱	U+22571 (U+22571)	f0a295b1
𢕲	U+22572 (U+22572)	f0a295b2
𢕳	U+22573 (U+22573)	f0a295b3
𢕴	U+22574 (U+22574)	f0a295b4
𢕵	U+22575 (U+22575)	f0a295b5
𢕶	U+22576 (U+22576)	f0a295b6
𢕷	U+22577 (U+22577)	f0a295b7
𢕸	U+22578 (U+22578)	f0a295b8
𢕹	U+22579 (U+22579)	f0a295b9
𢕺	U+2257A (U+2257A)	f0a295ba
𢕻	U+2257B (U+2257B)	f0a295bb
𢕼	U+2257C (U+2257C)	f0a295bc
𢕽	U+2257D (U+2257D)	f0a295bd
𢕾	U+2257E (U+2257E)	f0a295be
𢕿	U+2257F (U+2257F)	f0a295bf
𢖀	U+22580 (U+22580)	f0a29680
𢖁	U+22581 (U+22581)	f0a29681
𢖂	U+22582 (U+22582)	f0a29682
𢖃	U+22583 (U+22583)	f0a29683
𢖄	U+22584 (U+22584)	f0a29684
𢖅	U+22585 (U+22585)	f0a29685
𢖆	U+22586 (U+22586)	f0a29686
𢖇	U+22587 (U+22587)	f0a29687
𢖈	U+22588 (U+22588)	f0a29688
𢖉	U+22589 (U+22589)	f0a29689
𢖊	U+2258A (U+2258A)	f0a2968a
𢖋	U+2258B (U+2258B)	f0a2968b
𢖌	U+2258C (U+2258C)	f0a2968c
𢖍	U+2258D (U+2258D)	f0a2968d
𢖎	U+2258E (U+2258E)	f0a2968e
𢖏	U+2258F (U+2258F)	f0a2968f
𢖐	U+22590 (U+22590)	f0a29690
𢖑	U+22591 (U+22591)	f0a29691
𢖒	U+22592 (U+22592)	f0a29692
𢖓	U+22593 (U+22593)	f0a29693
𢖔	U+22594 (U+22594)	f0a29694
𢖕	U+22595 (U+22595)	f0a29695
𢖖	U+22596 (U+22596)	f0a29696
𢖗	U+22597 (U+22597)	f0a29697
𢖘	U+22598 (U+22598)	f0a29698
𢖙	U+22599 (U+22599)	f0a29699
𢖚	U+2259A (U+2259A)	f0a2969a
𢖛	U+2259B (U+2259B)	f0a2969b
𢖜	U+2259C (U+2259C)	f0a2969c
𢖝	U+2259D (U+2259D)	f0a2969d
𢖞	U+2259E (U+2259E)	f0a2969e
𢖟	U+2259F (U+2259F)	f0a2969f
𢖠	U+225A0 (U+225A0)	f0a296a0
𢖡	U+225A1 (U+225A1)	f0a296a1
𢖢	U+225A2 (U+225A2)	f0a296a2
𢖣	U+225A3 (U+225A3)	f0a296a3
𢖤	U+225A4 (U+225A4)	f0a296a4
