𩥄	U+29944 (U+29944)	f0a9a584
𩥅	U+29945 (U+29945)	f0a9a585
𩥆	U+29946 (U+29946)	f0a9a586
𩥇	U+29947 (U+29947)	f0a9a587
𩥈	U+29948 (U+29948)	f0a9a588
𩥉	U+29949 (U+29949)	f0a9a589
𩥊	U+2994A (U+2994A)	f0a9a58a
𩥋	to gallop wildly; (Cant.) stupid (U+2994B)	f0a9a58b
𩥌	U+2994C (U+2994C)	f0a9a58c
𩥍	U+2994D (U+2994D)	f0a9a58d
𩥎	U+2994E (U+2994E)	f0a9a58e
𩥏	U+2994F (U+2994F)	f0a9a58f
𩥐	U+29950 (U+29950)	f0a9a590
𩥑	U+29951 (U+29951)	f0a9a591
𩥒	U+29952 (U+29952)	f0a9a592
𩥓	U+29953 (U+29953)	f0a9a593
𩥔	U+29954 (U+29954)	f0a9a594
𩥕	U+29955 (U+29955)	f0a9a595
𩥖	U+29956 (U+29956)	f0a9a596
𩥗	U+29957 (U+29957)	f0a9a597
𩥘	U+29958 (U+29958)	f0a9a598
𩥙	U+29959 (U+29959)	f0a9a599
𩥚	U+2995A (U+2995A)	f0a9a59a
𩥛	U+2995B (U+2995B)	f0a9a59b
𩥜	U+2995C (U+2995C)	f0a9a59c
𩥝	U+2995D (U+2995D)	f0a9a59d
𩥞	U+2995E (U+2995E)	f0a9a59e
𩥟	U+2995F (U+2995F)	f0a9a59f
𩥠	U+29960 (U+29960)	f0a9a5a0
𩥡	U+29961 (U+29961)	f0a9a5a1
𩥢	U+29962 (U+29962)	f0a9a5a2
𩥣	U+29963 (U+29963)	f0a9a5a3
𩥤	U+29964 (U+29964)	f0a9a5a4
𩥥	U+29965 (U+29965)	f0a9a5a5
𩥦	U+29966 (U+29966)	f0a9a5a6
𩥧	U+29967 (U+29967)	f0a9a5a7
𩥨	U+29968 (U+29968)	f0a9a5a8
𩥩	U+29969 (U+29969)	f0a9a5a9
𩥪	U+2996A (U+2996A)	f0a9a5aa
𩥫	U+2996B (U+2996B)	f0a9a5ab
𩥬	U+2996C (U+2996C)	f0a9a5ac
𩥭	U+2996D (U+2996D)	f0a9a5ad
𩥮	U+2996E (U+2996E)	f0a9a5ae
𩥯	U+2996F (U+2996F)	f0a9a5af
𩥰	U+29970 (U+29970)	f0a9a5b0
𩥱	U+29971 (U+29971)	f0a9a5b1
𩥲	U+29972 (U+29972)	f0a9a5b2
𩥳	U+29973 (U+29973)	f0a9a5b3
𩥴	U+29974 (U+29974)	f0a9a5b4
𩥵	U+29975 (U+29975)	f0a9a5b5
𩥶	U+29976 (U+29976)	f0a9a5b6
𩥷	U+29977 (U+29977)	f0a9a5b7
𩥸	U+29978 (U+29978)	f0a9a5b8
𩥹	U+29979 (U+29979)	f0a9a5b9
𩥺	U+2997A (U+2997A)	f0a9a5ba
𩥻	U+2997B (U+2997B)	f0a9a5bb
𩥼	U+2997C (U+2997C)	f0a9a5bc
𩥽	U+2997D (U+2997D)	f0a9a5bd
𩥾	U+2997E (U+2997E)	f0a9a5be
𩥿	U+2997F (U+2997F)	f0a9a5bf
𩦀	U+29980 (U+29980)	f0a9a680
𩦁	U+29981 (U+29981)	f0a9a681
𩦂	U+29982 (U+29982)	f0a9a682
𩦃	U+29983 (U+29983)	f0a9a683
𩦄	U+29984 (U+29984)	f0a9a684
𩦅	U+29985 (U+29985)	f0a9a685
𩦆	U+29986 (U+29986)	f0a9a686
𩦇	U+29987 (U+29987)	f0a9a687
𩦈	U+29988 (U+29988)	f0a9a688
𩦉	U+29989 (U+29989)	f0a9a689
𩦊	U+2998A (U+2998A)	f0a9a68a
𩦋	U+2998B (U+2998B)	f0a9a68b
