𨅆	U+28146 (U+28146)	f0a88586
𨅇	U+28147 (U+28147)	f0a88587
𨅈	U+28148 (U+28148)	f0a88588
𨅉	U+28149 (U+28149)	f0a88589
𨅊	U+2814A (U+2814A)	f0a8858a
𨅋	U+2814B (U+2814B)	f0a8858b
𨅌	U+2814C (U+2814C)	f0a8858c
𨅍	U+2814D (U+2814D)	f0a8858d
𨅎	U+2814E (U+2814E)	f0a8858e
𨅏	(Cant.) to step over, step across (U+2814F)	f0a8858f
𨅐	U+28150 (U+28150)	f0a88590
𨅑	U+28151 (U+28151)	f0a88591
𨅒	U+28152 (U+28152)	f0a88592
𨅓	U+28153 (U+28153)	f0a88593
𨅔	U+28154 (U+28154)	f0a88594
𨅕	U+28155 (U+28155)	f0a88595
𨅖	U+28156 (U+28156)	f0a88596
𨅗	U+28157 (U+28157)	f0a88597
𨅘	U+28158 (U+28158)	f0a88598
𨅙	U+28159 (U+28159)	f0a88599
𨅚	U+2815A (U+2815A)	f0a8859a
𨅛	U+2815B (U+2815B)	f0a8859b
𨅜	U+2815C (U+2815C)	f0a8859c
𨅝	(Cant.) to press down or out with the foot; to kick; to tread on (U+2815D)	f0a8859d
𨅞	U+2815E (U+2815E)	f0a8859e
𨅟	U+2815F (U+2815F)	f0a8859f
𨅠	U+28160 (U+28160)	f0a885a0
𨅡	U+28161 (U+28161)	f0a885a1
𨅢	U+28162 (U+28162)	f0a885a2
𨅣	U+28163 (U+28163)	f0a885a3
𨅤	U+28164 (U+28164)	f0a885a4
𨅥	U+28165 (U+28165)	f0a885a5
𨅦	U+28166 (U+28166)	f0a885a6
𨅧	U+28167 (U+28167)	f0a885a7
𨅨	U+28168 (U+28168)	f0a885a8
𨅩	U+28169 (U+28169)	f0a885a9
𨅪	U+2816A (U+2816A)	f0a885aa
𨅫	U+2816B (U+2816B)	f0a885ab
𨅬	U+2816C (U+2816C)	f0a885ac
𨅭	U+2816D (U+2816D)	f0a885ad
𨅮	U+2816E (U+2816E)	f0a885ae
𨅯	U+2816F (U+2816F)	f0a885af
𨅰	U+28170 (U+28170)	f0a885b0
𨅱	U+28171 (U+28171)	f0a885b1
𨅲	U+28172 (U+28172)	f0a885b2
𨅳	U+28173 (U+28173)	f0a885b3
𨅴	U+28174 (U+28174)	f0a885b4
𨅵	U+28175 (U+28175)	f0a885b5
𨅶	U+28176 (U+28176)	f0a885b6
𨅷	U+28177 (U+28177)	f0a885b7
𨅸	U+28178 (U+28178)	f0a885b8
𨅹	U+28179 (U+28179)	f0a885b9
𨅺	U+2817A (U+2817A)	f0a885ba
𨅻	U+2817B (U+2817B)	f0a885bb
𨅼	U+2817C (U+2817C)	f0a885bc
𨅽	U+2817D (U+2817D)	f0a885bd
𨅾	U+2817E (U+2817E)	f0a885be
𨅿	U+2817F (U+2817F)	f0a885bf
𨆀	U+28180 (U+28180)	f0a88680
𨆁	U+28181 (U+28181)	f0a88681
𨆂	U+28182 (U+28182)	f0a88682
𨆃	U+28183 (U+28183)	f0a88683
𨆄	U+28184 (U+28184)	f0a88684
𨆅	U+28185 (U+28185)	f0a88685
𨆆	U+28186 (U+28186)	f0a88686
𨆇	U+28187 (U+28187)	f0a88687
𨆈	U+28188 (U+28188)	f0a88688
𨆉	U+28189 (U+28189)	f0a88689
𨆊	U+2818A (U+2818A)	f0a8868a
𨆋	U+2818B (U+2818B)	f0a8868b
𨆌	U+2818C (U+2818C)	f0a8868c
𨆍	U+2818D (U+2818D)	f0a8868d
𨆎	U+2818E (U+2818E)	f0a8868e
𨆏	U+2818F (U+2818F)	f0a8868f
𨆐	U+28190 (U+28190)	f0a88690
𨆑	U+28191 (U+28191)	f0a88691
