屵	U+5C75 (U+5C75)	e5b1b5
屶	lofty (U+5C76)	e5b1b6
屷	U+5C77 (U+5C77)	e5b1b7
屸	U+5C78 (U+5C78)	e5b1b8
屹	to rise high; to stand erect (U+5C79)	e5b1b9
屺	a hill with trees or grass-- some give the opposite meaning (U+5C7A)	e5b1ba
屻	(Cant.) sharp (U+5C7B)	e5b1bb
屼	mountain; a bare hill (U+5C7C)	e5b1bc
屽	U+5C7D (U+5C7D)	e5b1bd
屾	U+5C7E (U+5C7E)	e5b1be
屿	island (U+5C7F)	e5b1bf
岀	go out (U+5C80)	e5b280
岁	year; age; harvest (U+5C81)	e5b281
岂	how? what? (U+5C82)	e5b282
岃	U+5C83 (U+5C83)	e5b283
岄	U+5C84 (U+5C84)	e5b284
岅	U+5C85 (U+5C85)	e5b285
岆	U+5C86 (U+5C86)	e5b286
岇	U+5C87 (U+5C87)	e5b287
岈	U+5C88 (U+5C88)	e5b288
岉	U+5C89 (U+5C89)	e5b289
岊	foothill (U+5C8A)	e5b28a
岋	U+5C8B (U+5C8B)	e5b28b
岌	perilous, hazardous; high, steep (U+5C8C)	e5b28c
岍	U+5C8D (U+5C8D)	e5b28d
岎	U+5C8E (U+5C8E)	e5b28e
岏	U+5C8F (U+5C8F)	e5b28f
岐	high; majestic; fork in road (U+5C90)	e5b290
岑	steep, precipitous; peak (U+5C91)	e5b291
岒	U+5C92 (U+5C92)	e5b292
岓	U+5C93 (U+5C93)	e5b293
岔	diverge, branch off; fork in road (U+5C94)	e5b294
岕	U+5C95 (U+5C95)	e5b295
岖	steep, sheer; rugged, rough (U+5C96)	e5b296
岗	post; position (U+5C97)	e5b297
岘	steep hill; mountain in Hubei (U+5C98)	e5b298
岙	island (U+5C99)	e5b299
岚	mountain mist, mountain haze (U+5C9A)	e5b29a
岛	island (U+5C9B)	e5b29b
岜	rock mountain (U+5C9C)	e5b29c
岝	name of a mountain in Shandong (U+5C9D)	e5b29d
岞	U+5C9E (U+5C9E)	e5b29e
岟	U+5C9F (U+5C9F)	e5b29f
岠	U+5CA0 (U+5CA0)	e5b2a0
岡	ridge or crest of hill (U+5CA1)	e5b2a1
岢	U+5CA2 (U+5CA2)	e5b2a2
岣	a hill in Hunan (U+5CA3)	e5b2a3
岤	U+5CA4 (U+5CA4)	e5b2a4
岥	U+5CA5 (U+5CA5)	e5b2a5
岦	U+5CA6 (U+5CA6)	e5b2a6
岧	peak; cliff; precipice (U+5CA7)	e5b2a7
岨	uneven (U+5CA8)	e5b2a8
岩	cliff; rocks; mountain (U+5CA9)	e5b2a9
岪	U+5CAA (U+5CAA)	e5b2aa
岫	mountain peak; cave, cavern (U+5CAB)	e5b2ab
岬	cape; promontory, headland (U+5CAC)	e5b2ac
岭	mountain ridge, mountain peak (U+5CAD)	e5b2ad
岮	U+5CAE (U+5CAE)	e5b2ae
岯	U+5CAF (U+5CAF)	e5b2af
岰	U+5CB0 (U+5CB0)	e5b2b0
岱	Daishan, one of the Five Sacred Mountains in China (U+5CB1)	e5b2b1
岲	U+5CB2 (U+5CB2)	e5b2b2
岳	mountain peak; surname (U+5CB3)	e5b2b3
岴	U+5CB4 (U+5CB4)	e5b2b4
岵	hill (U+5CB5)	e5b2b5
岶	U+5CB6 (U+5CB6)	e5b2b6
岷	min mountain, min river (U+5CB7)	e5b2b7
岸	bank, shore; beach, coast (U+5CB8)	e5b2b8
岹	U+5CB9 (U+5CB9)	e5b2b9
岺	mountain ridge, mountain peak (U+5CBA)	e5b2ba
岻	U+5CBB (U+5CBB)	e5b2bb
岼	U+5CBC (U+5CBC)	e5b2bc
岽	place name in Guangxi province (U+5CBD)	e5b2bd
岾	mountain pass (Korean) (U+5CBE)	e5b2be
岿	grand, stately; secure, lasting (U+5CBF)	e5b2bf
峀	mountain peak; cave, cavern (U+5CC0)	e5b380
峁	yellow dirt mount (U+5CC1)	e5b381
峂	name of place (U+5CC2)	e5b382
峃	U+5CC3 (U+5CC3)	e5b383
峄	a range of peaks in Shandong and Jiangsu; the name of a mountain (U+5CC4)	e5b384
